S. No.,UWTP ID,Lat Long,State ,Design capacity (MLD),Operational capacity (MLD),BOD_P1(mg/L),BOD_P2(mg/L),BOD_P3(mg/L),COD_P1(mg/L),COD_P2(mg/L),COD_P3(mg/L),TP_P1(mg/L),TP_P2(mg/L),TP_P3(mg/L),TN_P1(mg/L),TN_P2(mg/L),TN_p3(mg/L),TSS_P1(mg/L),TSS_P2(mg/L),TSS_P3(mg/L),FC_P1(MPN/100ml),FC_P2(MPN/100ml),FC_P3(MPN/100ml),BOD SCORE (11 mg/L),COD SCORE    (55 mg/L),TP SCORE        (1.1 mg/L),TN SCORE           (11 mg/L),TSS SCORE   (22 mg/L),FC SCORE    (253 MPN/100 mL),TOTAL SCORE  (MAX. 60),Latitude,Longitude
122,TN-803339-020,"13.0672805, 80.2342524",TAMIL NADU,1.2,1.2,12,32,23,40,72,91,1.3,1.2,2.1,26,28,92,9,18,12.8,430,170,150,0,0,0,0,10,10,20,13.0672805,80.2342524
123,WB-801695-002,"22.8526031, 88.3962988",West Bengal,31,17,10,32,5.8,29.12,74,48,2.52,2.6,0.52,28.29,3.4,10.92,10,36,22,28,130,10,10,10,10,10,10,10,60,22.8526031,88.3962988
124,WB-801695-004,"22.8510278, 88.3973744",West Bengal,9.5,9.5,8,52,13.6,24.96,111,67.2,1,9.5,0.55,25.46,11,11.48,12,72,24,5,39039,10,0,0,10,0,0,10,20,22.8510278,88.3973744
125,WB-801702-002,"22.7514837, 88.3664989",WEST BENGAL,6,0,6,28,3.84,16.64,65,15.62,1,1.7,0.43,11.32,2.5,10.62,5,28,21.25,1,70,10,10,10,10,10,10,10,60,22.7514837,88.3664989
126,TN-803754-001,"9.87122, 78.1035317",TAMILNADU,125,25,10,13.2,7.2,40,67,28.64,1.6,1.6,1,26,52,14.2,13,5.2,18,430,120,5,10,10,10,0,10,10,50,9.87122,78.1035317
127,TN-803754-002,"9.9029428, 78.1903687",Tamil Nadu,45.7,10,14,23,7,48,113,24.55,1.2,2.3,2.53,19,36,13.65,17,4.4,8,220,210,13,10,10,0,0,10,10,40,9.9029428,78.1903687
128,TN-803323-001,"13.1101823, 80.1049938",Tamil Nadu,36,9,23.3,4,8.8,81.7,20.8,36,0.63,1.3,0.51,9.29,83,44,12.4,8.5,1.4,2,110,140,10,10,10,0,10,10,50,13.1101823,80.1049938
129,TN-803802-001,"9.3517253, 77.9229945",Tamil Nadu,4.63,1.5,102,14.4,14.5,248,71,75.38,1.4,1.5,1,21,59,22,23,10.2,46,540,110,2,0,0,10,0,0,10,20,9.3517253,77.9229945
130,TS-802918-007,"17.3351998, 78.4455308",TELANGANA,10,10,8,12.4,13,40,39,48,1.4,1.2,0.7,31,43,32,26,5.8,5,170,280,108,0,10,10,0,10,10,40,17.3351998,78.4455308
131,TS-802918-014,"17.4663029, 78.5353049",TELANGANA,0.6,0,12,2,9,48,8.7,24,3,3,0.7,30,45,21,9,3.2,6,110,350,54,10,10,10,0,10,10,50,17.4663029,78.5353049
132,TS-802918-012,"17.382342, 78.4140008",TELANGANA,1.2,1.2,40,15.4,20,84,48,72,2.32,2.2,0.6,26,15.1,23,10,1,9,220,280,76,0,0,10,0,10,10,30,17.382342,78.4140008
133,UK-800359-003,"29.8990542, 78.1384899",UTTARAKHAND,68,68,8,15,3.7,40,32,10,0,0.1,0.7,0,9.16,3.6,0,5,2,1.8,18,15,10,10,10,10,10,10,60,29.8990542,78.1384899
134,MH-802776-006,"19.9333936, 73.862673",MAHARASHTRA,22,20.99,5,7,9,10,20.3,29.41,1.5,2.2,1.14,5,2.9,8.05,5,3,63,260,5400,2,10,10,0,10,0,10,40,19.9333936,73.862673
135,MH-802776-010,"20.0325676, 73.7195015",MAHARASHTRA,18,17.66,5,5,5,10,12.2,9.9,1.2,1.6,1.19,4,2.9,0.5,5,1,35,390,16000,2,10,10,0,10,0,10,40,20.0325676,73.7195015
136,MH-802814-009,"18.5389409, 73.9014081",MAHARASHTRA,130,130,7,16,4.01,20.4,48,19.96,1.9,2.8,0.5,12.7,4.6,3.82,2,9,9,17,5400,58,10,10,10,10,10,10,60,18.5389409,73.9014081
137,MH-802814-011,"18.4876711, 73.8287094",MAHARASHTRA,32,32,18,5,8.05,55.8,14.6,32.4,1.9,1.9,0.916,13.3,3.2,5.02,3,3,16,23,3500,130,10,10,10,10,10,10,60,18.4876711,73.8287094
138,GJ-802484-010,"22.9347, 72.5712",Gujarat,5,5,11.5,18.87,12,33.3,69.66,39.6,2.6,0.5,0.87,9.67,4.38,0.5,10.7,12,34,2,1.8,2,0,10,10,10,0,10,40,22.9347,72.5712
139,MP-802312-008,"23.2573116, 77.278408",MADHYA PRADESH,3.5,3,3,4,7.2,14,21,60,0.05,0.05,0.6355,1,0.9,6.16,5,5,8,49,17,170,10,0,10,10,10,10,50,23.2573116,77.278408
140,UP-801005-005,"26.46697835, 80.20612098",UTTAR PRADESH,30,28,7,4.5,2.3,40,23,10,0.05,0.05,0.32,0.1,2.3,8.2,5,5,5,130,1.8,45,10,10,10,10,10,10,60,26.46697835,80.20612098
141,HR-800396-003,"29.6933903, 75.5509995",Haryana,6.5,6.5,8,6.2,45,40,30,190,0,0.05,2.2,0,1.6,4.5,0,5,22,3500,2200,75,0,0,0,10,10,10,30,29.6933903,75.5509995
142,UP-800768-001,"27.8633129, 78.0659042",UTTAR PRADESH,45,40,9,2.5,1.2,50,15,7.5,0,0.05,0.05,0,1.3,1,0,5,10,2200,1.8,7,10,10,10,10,10,10,60,27.8633129,78.0659042
143,UP-801005-002,"26.4185382, 80.4209301",UTTAR PRADESH,27,27,6,5,28,30,26,90,0,0.05,1.6,0,1,21.2,0,5,58,35000,940,80,0,0,0,0,0,10,10,26.4185382,80.4209301
144,MP-802222-003,"23.3261436, 75.0060683",Madhya Pradesh,16,11,9.75,3.5,9.6,33.3,14,80,2.36,0.05,1.84,8.33,0.1,9.57,10,5,4,2,1600,232,10,0,0,10,10,10,40,23.3261436,75.0060683
145,HR-800397-001,"29.6799597, 75.8793562",Haryana,10,10,7,11,5,30,60,18,0,0.05,0.65,0,2.4,8.5,0,5,22,1600,350000,10,10,10,10,10,10,10,60,29.6799597,75.8793562
146,MP-802312-009,"23.2459495, 77.4042143",MADHYA PRADESH,2,1.5,11,3.5,3.6,60,18,30,0.05,0.05,3.37,0.1,0.1,6.72,5,5,8,11000,1600,326,10,10,0,10,10,0,40,23.2459495,77.4042143
147,HR-900513-001,"29.788, 75.8278",Haryana,3,1.8,6,6.2,75,30,48,210,0,0.05,3.2,0,1.2,6.7,0,5,22,1700,22000,95,0,0,0,10,10,10,30,29.788,75.8278
148,MP-802312-007,"23.2020391, 77.4193733",Madhya Pradesh,9.5,5,4,6.2,4.8,20,36,40,0.05,0.05,3.16,0.1,1.8,7.84,5,5,2,220,920,240,10,10,0,10,10,10,50,23.2020391,77.4193733
149,MP-802312-005,"23.1965945, 77.3415303",MADHYA PRADESH,6,5,14.82,18.5,6,130,46,50,0.6182,0.3,2.31,8.1,1.9,7.98,4,10.8,20,220,350,318,10,10,0,10,10,0,40,23.1965945,77.3415303
150,MP-802248-001,"23.00900901, 76.08945393",Madhya Pradesh,12,2.1,17,3.2,10.8,107.136,16,90,2.1,0.05,1.386,20.11,0.1,8.4,56,5,12,24,4.5,286,10,0,0,10,10,0,30,23.00900901,76.08945393
151,MP-802320-003,"22.7797307, 77.6868213",MADHYA PRADESH,2.2,2.2,8.04,3,16.8,60,17,140,5.2686,0.05,4.46,7.84,1.1,4.032,10,5,18,280,1.8,286,0,0,0,10,10,0,20,22.7797307,77.6868213
152,MP-802312-006,"23.1562, 77.4982",MADHYA PRADESH,20.5,18,9,10.6,10.8,50,48,90,0.05,0.05,5.53,0.1,1.8,7.28,5,5,14,1600,1600,352,10,0,0,10,10,0,30,23.1562,77.4982
153,GJ-802629-028,"21.2668238, 72.8280996",Gujarat,22.7,8.53,9.75,28.3,7.56,35.21,118,32.7,0.99,2.58,1.37,1.12,3.4,4.42,10,37,18,26,1.8,1.8,10,10,0,10,10,10,50,21.2668238,72.8280996
154,HR-800365-003,"30.3799355, 76.7519028",HARYANA,3.25,0,15,11,6,62.2,48,25,4.7,2.23,0.16,58.9,16.9,1,7.9,14,10,59,290,22,10,10,10,10,10,10,60,30.3799355,76.7519028
155,HR-800365-004,"30.380045, 76.7510617",HARYANA,3,3,12.3,13,2.8,61.9,58,12,4.01,2.36,0.05,58.2,17.5,1,8.33,12,10,65,345,8,10,10,10,10,10,10,60,30.380045,76.7510617
156,HR-800401-003,"29.490506, 75.0064943",HARYANA,12.5,0,12.75,13,6.7,48.12,62,21.4,3.58,2.32,1,27.03,16.8,3.62,8.45,14,5,235,338,9,10,10,10,10,10,10,60,29.490506,75.0064943
157,HR-800401-004,"29.5301405, 75.0028103",HARYANA,15,0,14.9,14,20.1,63.8,60,78.5,3.6,2.63,7.62,57.9,19.2,9.86,8.69,15,10,146,325,12,0,0,0,10,10,10,30,29.5301405,75.0028103
158,HR-800401-001,"29.5301406, 75.0028096",HARYANA,20,0,15.3,12,22.5,63.2,55,85.5,3.9,2.42,6.92,59.8,17.2,11.8,8.45,12,10,212,322,11,0,0,0,0,10,10,20,29.5301406,75.0028096
159,MH-802787-003,"19.1738378, 73.0285041",MAHARASHTRA,32,24,40,22,5,120.3,64,1,2.5,3,0.5,18.2,3.4,0.5,5,6,41,2210,16000,2,10,10,10,10,0,10,50,19.1738378,73.0285041
160,DL-900118-039,"28.5852814, 77.022726",DELHI,90.8,45.4,7,6,24,40,38,60,0,0.05,0.3,0,0.8,2.8,0,5,3,22000,540,35,0,0,10,10,10,10,40,28.5852814,77.022726
161,RJ-900596-001,"25.210432, 75.932659",RAJASTHAN,15,14,3,12,18.6,10,50,48,0.05,2.6,0.06,1,20.6,2.74,5,10,8.2,130,335,9,0,10,10,10,10,10,50,25.210432,75.932659
162,HR-800403-001,"29.45729, 74.6768467",HARYANA,7.5,0,19.12,12,12.5,59.3,56,40.2,4.1,2.3,4.92,60.25,18.6,12.8,6.28,11,5,210,346,11,0,10,0,0,10,10,30,29.45729,74.6768467
163,HR-800402-001,"29.5193,74.8219",HARYANA,6,0,17.12,10,27.9,61.3,42,134,4.2,2.3,8.27,54.2,16.6,16.5,6.9,9,16,183,335,6,0,0,0,0,10,10,20,29.5193,74.8219
164,RJ-800587-001,"25.4103629, 75.6555387",RAJASTHAN,8,6,5,9,6.2,20,40,14.2,0.05,2.5,0.08,1,18.5,0.04,5,12,5,28000,342,7,10,10,10,10,10,10,60,25.4103629,75.6555387
165,HR-800405-003,"29.0917733, 75.6742511",HARYANA,15,13,15.12,12,65,62.5,52,210,4.6,2.11,3.69,58.2,19.5,10.2,7.5,10,65,145,315,95,0,0,0,10,0,10,20,29.0917733,75.6742511
166,HR-800404-001,"29.3467337, 75.8771778",HARYANA,6,0,12.12,9,1,45.5,42,8,5.2,2.16,0.05,54.2,15.5,1,7.5,8,5,210,310,6,10,10,10,10,10,10,60,29.3467337,75.8771778
167,TN-803760-002,"10.01801802, 77.35967569",TAMIL NADU,12.08,5,60,17.8,7.8,140,57,40.6,1.8,1.1,1,22,94,8.4,10,41.5,7,110,220,12,10,10,10,10,10,10,60,10.01801802,77.35967569
168,HR-800400-001,"29.8349417, 74.9920633",HARYANA,9.5,3.94,50,159,25.5,240,344,204,0,10,8.94,0,42.6,14.7,6.2,43,48,350000,90,7,0,0,0,0,0,10,10,29.8349417,74.9920633
169,UK-800359-005,"29.8954773, 78.0891957",UTTARAKHAND,14,14,8,47,14,40,104,40,0,3.3,0.3,0,23.9,2.6,0,22,3,5400,50,25,0,10,10,10,10,10,50,29.8954773,78.0891957
170,PB-800196-005,"30.936385, 75.781728",Punjab,152,152,9,2,56,50,8,172.8,0.05,0.7,4.8,0.1,13.1,34.54,5,21,68,54000,542,47,0,0,0,0,0,10,10,30.936385,75.781728
171,PB-800196-006,"30.924482, 75.9138353",Punjab,225,225,9,6.6,16,50,19.2,48,0,0.6,0.8,0,12.9,18.74,0,15,2,1698,8,14,0,10,10,0,10,10,40,30.924482,75.9138353
172,PB-800196-007,"30.9241274, 75.7900165",Punjab,60,60,9,5,20,50,10,76.8,0,0.6,1.2,0,20.15,11.96,0,11,6,1.8,426,1.8,0,0,0,0,10,10,20,30.9241274,75.7900165
173,PB-800196-002,"30.9646493, 75.8327967",Punjab,50,0,5,15,28,30,38.4,105.6,0.05,1.7,2.6,0.1,20.1,29.53,5,17,28,1.8,542,21,0,0,0,0,0,10,10,30.9646493,75.8327967
174,PB-800196-004,"30.9357902, 75.7826992",Punjab,105,105,10,3,18,50,6,57.6,0,3,0.5,0,13.4,20.62,0,74,4,920,542,2,0,0,10,0,10,10,30,30.9357902,75.7826992
175,WB-801689-001,"22.9734606, 88.421152",West Bengal,11,11,18,9.6,11.5,54.08,23,38.4,2.179,2.4,0.47,25.46,8.7,10.08,14,42,14,161,49,10,0,10,10,10,10,10,50,22.9734606,88.421152
176,WB-801690-001,"22.9596463, 88.4938107",West Bengal,8.33,0,20,35,19.2,62.4,82,76.8,1,1.6,0.5,50.93,16,10.36,10,18,22,5,46808,10,0,0,10,10,10,10,40,22.9596463,88.4938107
177,WB-801702-001,"22.759413, 88.3864704",West Bengal,18,9,7,11,5.76,20.8,27,17.75,1.12,1.4,0.26,31.12,9.5,9.23,18,30,19.26,1,110,10,10,10,10,10,10,10,60,22.759413,88.3864704
178,MH-802776-005,"19.985998, 73.857750",MAHARASHTRA,32,28.22,5,29,6.5,10,105,29.41,1,2.8,2.01,2.9,4.9,8.05,3,22,139,2,16000,170,10,10,0,10,0,10,40,19.985998,73.85775
179,MH-802814-004,"18.5338995, 73.9335161",MAHARASHTRA,45,45,5,13,3,10,38,6,1.2,1.4,1.06,7.6,2.7,4.8,3,1.2,3,1090,2800,2,10,10,10,10,10,10,60,18.5338995,73.9335161
180,MH-802776-007,"19.9472932, 73.8645106",MAHARASHTRA,20,19.69,5,12,13.5,10,36.4,39.22,1.8,1.2,1.05,3.7,2.5,12.64,2,1.2,65,260,2800,2,0,10,10,0,0,10,30,19.9472932,73.8645106
181,MH-802787-008,"19.2102, 73.0119",MAHARASHTRA,46.76,8,7,20,5,21.3,58.2,1,1.1,2.5,0.5,2.7,4.1,0.5,4,10,39,1720,16000,2,10,10,10,10,0,10,50,19.2102,73.0119
182,GJ-802484-011,"22.973642, 72.5490456",Gujarat,180,180,7.2,20.5,11.5,30.14,76.24,39.22,1.84,0.49,0.5,13.3,5,11.49,6,10,157,1.8,17,9,0,10,10,0,0,10,30,22.973642,72.5490456
183,MP-802312-003,"23.2191014, 77.4155095",MADHYA PRADESH,4.5,4.5,2,4.4,3.6,12,19,30,0.05,0.05,0.623,1,0.8,4.48,5,5,4,49,540,150,10,10,10,10,10,10,60,23.2191014,77.4155095
184,UP-800749-001,"28.3927715, 77.8594105",UTTAR PRADESH,40,16,4,4.5,11.5,23,25,48,0.05,0.05,3.2,0.1,1.7,2.9,5,5,9,35000,23,17,0,10,0,10,10,10,40,28.3927715,77.8594105
185,UP-801005-004,"26.3649824, 80.3906762",UTTAR PRADESH,42,23,7,5.8,14,10,24,40,0.05,0.05,1.1,0.1,1.8,11.6,5,5,8,1.8,11,30,0,10,10,0,10,10,40,26.3649824,80.3906762
186,GJ-802629-024,"21.095178, 72.802416",Gujarat,55,30.05,28.5,18.62,6.04,90.72,60.24,21.6,0,0.48,0.901,1.4,5,3.18,0,10,9,14,34,70,10,10,10,10,10,10,60,21.095178,72.802416
187,GJ-802629-016,"21.1471068, 72.863108",Gujarat,167,60.49,2.75,14.5,4.16,8.56,52.08,19.45,1.05,0.4,1.17,3.77,5,3.82,10,10,13,7,33,79,10,10,0,10,10,10,50,21.1471068,72.863108
188,GJ-802629-031,"21.2711374, 72.9805651",GUJARAT,50.09,18.43,21.5,22.5,3.56,81.32,68.98,14.84,3.17,0.56,0.946,1.47,5,3.18,10,10,12,14,22,140,10,10,10,10,10,10,60,21.2711374,72.9805651
189,MP-802222-002,"23.311988, 75.0384",Madhya Pradesh,21.5,13,7.7,2.2,14.4,36.68,8,130,2.3,0.05,2.02,5.25,0.1,9.044,16,5,14,6,1.8,198,0,0,0,10,10,10,30,23.311988,75.0384
190,UK-800303-001,"30.1078299, 78.3082461",UTTARAKHAND,7.5,7.5,9,15,3.8,50,32,10,0.05,3.3,1.1,0.1,24.5,5.8,5,39,10,12000,65,30,10,10,10,10,10,10,60,30.1078299,78.3082461
191,HR-800399-002,"29.9387114, 74.6846476",HARYANA,16.5,16.5,24,3.8,19.3,120,22,75.5,0,0.05,9.86,0,1.6,16.3,0,5,20,22000,1600,7,0,0,0,0,10,10,20,29.9387114,74.6846476
192,JK-800071-005,"32.7243, 74.8299",JAMMU AND KASHMIR,30,20,7,5.2,22,10,22,60,0.05,0.05,0.4,0.1,1.6,2.1,5,5,10,70000,5400,25,0,0,10,10,10,10,40,32.7243,74.8299
193,GJ-802629-034,"21.273490, 72.979839",Gujarat,0.76,0.27,78,1,1,276,10.3,9.72,1.2,6.42,0.708,3.4,7.6,3.21,13,7,16,1.8,1.8,23,10,10,10,10,10,10,60,21.27349,72.979839
194,GJ-802501-007,"22.260244, 70.820113",Gujarat,15,0,23.2,19.74,9.5,95.72,82.46,27.27,0.5,2.84,0.72,4.16,2.96,12.64,4,49,121.5,1.8,49,4,10,10,10,0,0,10,40,22.260244,70.820113
195,JH-801772-001,"25.2398868, 87.6564175",JHARKHAND,5,2.5,17,3.6,8,88.6,9,58,5.4,0.05,0.31,12.9,2.4,10.08,9,2.5,11,130,110,10,10,0,10,10,10,10,50,25.2398868,87.6564175
196,JH-801773-003,"25.0425906, 87.8434937",JHARKHAND,3.5,1.4,14.15,4,6,51.07,10,67,2.14,0.05,0.83,29.85,4.3,13.72,12.07,2.5,18,388.75,120,10,10,0,10,0,10,10,40,25.0425906,87.8434937
197,JH-801772-002,"25.241654, 87.614150",JHARKHAND,7,5.5,17,3.2,12,91.5,8,86,5.7,0.05,0.3,10.3,2.1,11.2,8,2.5,13,280,94,10,0,0,10,0,10,10,30,25.241654,87.61415
198,KA-803083-001,"15.3066627, 75.146694",Karnataka,40,0,62,18,6.56,132,68,24,2.4,1.6,0.68,48,32,0.57,33,20,10,280,94,63,10,10,10,10,10,10,60,15.3066627,75.146694
199,TS-802930-003,"17.9874878, 79.5395029",TELANGANA,15,0,47,12,10,116,40,40,2.29,0.9,6.5,18,16,26,15,10,2,350,210,2,10,10,0,0,10,10,40,17.9874878,79.5395029
200,UK-800303-002,"30.1245811, 78.2756388",Uttarakhand,5,5,6,11,12,40,24,30,0.05,0.1,1.5,1,2.1,6.2,5,3,6,35000,20,45,0,10,0,10,10,10,40,30.1245811,78.2756388
201,TS-802918-017,"17.415395, 78.3594623",Telangana,4.5,4.5,54,2,14,124,4,44,0.3,1.2,0.9,16,36,19,8,6.1,18,430,140,187,0,10,10,0,10,10,40,17.415395,78.3594623
202,TS-802918-010,"17.434657, 78.548079",Telangana,2.5,0,38,4.2,13,88,16,48,0.42,1,0.6,26,34,26,7,2,8,110,220,56,0,10,10,0,10,10,40,17.434657,78.548079
203,TN-803777-001,"9.850048, 77.384937",TAMILNADU,3.99,3.72,116,29,19.5,268,135,136.14,4.7,1.6,1,38,73,26.3,63,65.7,19,350,110,2,0,0,10,0,10,10,30,9.850048,77.384937
204,TS-802918-013,"17.3154875, 78.4256319",TELANGANA,4,0,52,34,9,120,110,36,0.48,0.7,0.6,19,23,14,5,55,4,170,210,38,10,10,10,0,10,10,50,17.3154875,78.4256319
205,TS-802918-011,"17.3534619, 78.5303334",TELANGANA,2.5,2.5,96,16,9,224,64,28,0.9,0.9,0.7,32,37,18,8,18,9,430,110,64,10,10,10,0,10,10,50,17.3534619,78.5303334
206,TN-803769-001,"10, 77.50175005",TAMILNADU,12.05,8.2,28,16.4,16.3,68,53,146.16,3.3,0.55,1,36,48,12.4,50,3.8,16,210,220,2,0,0,10,0,10,10,30,10,77.50175005
207,TN-803767-001,"10.1151708, 77.5610463",TAMILNADU,5.47,2.4,75,27,7,172,131,24.02,3.5,3.6,1,20,77,6.9,25,42.6,5,110,170,4,10,10,10,10,10,10,60,10.1151708,77.5610463
208,TS-802930-005,"17.955875, 79.5803682",TELANGANA,5,0,55,21,15,128,65,50,0.79,0.5,4,16,21,18.4,26,12,1,430,140,2,0,10,0,0,10,10,30,17.955875,79.5803682
209,TS-802930-001,"17.9891812, 79.5926546",TELANGANA,0.75,0.37,32,18,4,72,68,10,0.13,0.6,2.5,20,25,15.2,23,15,1,540,170,2,10,10,0,0,10,10,40,17.9891812,79.5926546
210,KA-803159-002,"13.2711595, 76.5081755",Karnataka,6,6,38,17.5,5.2,104,64.58,20.08,2,3.31,0.5,88,12.66,1,35,42,14,70,2,5,10,10,10,10,10,10,60,13.2711595,76.5081755
211,KA-803169-003,"12.5848081, 77.0356771",Karnataka,0.5,0.5,25,25,7.8,68,92.83,37.69,3,1.66,2.12,77,15.24,14.54,19,15,15,2,2,2,10,10,0,0,10,10,40,12.5848081,77.0356771
212,RJ-800522-001,"26.9424707, 75.8352619",RAJASTHAN,8,8,5,4,1,22,40,5,0.05,1,0.05,1,1.4,1,5,5.2,8,130,140,5,10,10,10,10,10,10,60,26.9424707,75.8352619
213,RJ-900596-002,"25.2223579, 75.85594",RAJASTHAN,15,5.6,5,4,2,30,30,4.03,0.05,1,0.08,1,1,0.21,5,2,5,240,210,9,10,10,10,10,10,10,60,25.2223579,75.85594
214,RJ-800522-002,"26.9520121, 75.8902474",RAJASTHAN,50,50,4,6,1.5,24,90,6.5,0.05,1,0.05,1,1,1,5,5,6,92000,26,7,10,10,10,10,10,10,60,26.9520121,75.8902474
215,RJ-900596-005,"25.2026334, 75.8586605",RAJASTHAN,6,0,12,4,8.8,60,30,16.1,0.05,1,0.06,1,1,0.12,5,2,5,2200,70,7,10,10,10,10,10,10,60,25.2026334,75.8586605
216,PB-800213-001,"30.3855628, 74.0176662",PUNJAB,13,0,37,3.7,4,260,8,19.2,2.6,1.2,0.9,16.8,18.2,12.06,115.4,17,2,540,542,2,10,10,10,0,10,10,50,30.3855628,74.0176662
217,PB-800191-002,"30.7080213, 76.1850484",PUNJAB,29,29,4,3.2,36,20,6,115.2,0.05,0.6,3.6,1,13.5,22.7,5,6,18,958.2,542,24,0,0,0,0,10,10,20,30.7080213,76.1850484
218,WB-801681-001,"23.3961499, 88.3695018",West Bengal,9.5,6.06,16,76,21.1,45.76,173,96,1.61,1.7,0.52,39.61,12,13.16,12,32,21,1,22,10,0,0,10,0,10,10,30,23.3961499,88.3695018
219,GJ-802629-027,"21.231198, 72.917435",Gujarat,43.24,34.34,9.5,10.5,9.54,29.96,47.08,38.3,0.52,0.71,1.29,1.96,5,4.06,10,10,21,14,14,21,10,10,0,10,10,10,50,21.231198,72.917435
220,GJ-802629-023,"21.2572545, 72.8437957",Gujarat,220,150.71,8.75,7.75,4.86,39.43,34.24,23.92,0.74,0.48,1.08,2.01,5,3.31,10,10,8,50,13,43,10,10,10,10,10,10,60,21.2572545,72.8437957
221,MH-802814-008,"18.5727797, 73.8342753",MAHARASHTRA,18,18,5,30,7.2,10,98.7,28.54,1.4,1.3,0.825,9,3.3,4.72,2,4,12,1000,170,170,10,10,10,10,10,10,60,18.5727797,73.8342753
222,MH-802787-10,"19.2564149, 72.9879459",MAHARASHTRA,59,19,8,20,8,22.9,60,29.41,1.3,1.2,0.5,3.2,3.1,3.45,3,4,70,1410,16000,1600,10,10,10,10,0,0,40,19.2564149,72.9879459
223,MH-802765-003,"19.8859559, 75.293084",MAHARASHTRA,10,2,13,7,12.5,41.8,20.4,40,1.6,1,11.02,4.6,2.8,5.14,3,1,10,110,460,21,0,10,0,10,10,10,40,19.8859559,75.293084
224,MH-802653-001,"21.033, 75.5645",MAHARASHTRA,48,11,5,21,8.1,10,62,24,1,1.1,8.96,2.9,3.1,1,1,5,69,1200,540,1.8,10,10,0,10,0,10,40,21.033,75.5645
225,MH-802814-003,"18.5470402, 73.9500726",MAHARASHTRA,40,40,5,8,9.61,11,24.4,36.28,1.2,1.2,0.782,9.6,2.6,2,3,1,21,1720,16000,220,10,10,10,10,10,10,60,18.5470402,73.9500726
226,KA-803083-006,"15.358376, 75.101892",Karnataka,1,0,45,24,7.65,96,44,28,2.1,1.8,1.01,28,16,1.7,20,26,10,210,94,49,10,10,10,10,10,10,60,15.358376,75.101892
227,UK-800315-004,"30.2263555555555, 78.7833861111111",Uttarakhand,0.05,0.02,6,2.4,7.2,50,15,20,0.05,0.05,0.2,1,1.1,1.6,5,5,2,1.8,1.8,20,10,10,10,10,10,10,60,30.22635556,78.78338611
228,UK-800315-003,"30.2253,78.8136",Uttarakhand,0.075,0.075,5,2.4,28,60,14,90,0.05,0.05,0.3,1,1,1.8,5,5,18,1.8,1.8,25,0,0,10,10,10,10,40,30.2253,78.8136
229,RJ-900600-007,"26.8522366, 75.7842038",RAJASTHAN,15,12,4,8.2,1.5,18,40,12,0.05,1.6,0.05,1,2.9,1,5,9,6,54000,170,4,10,10,10,10,10,10,60,26.8522366,75.7842038
230,RJ-900600-008,"26.772909, 75.908035",RAJASTHAN,10,6,5,7,3.5,20,40,18,0.05,2.6,0.05,0.1,3,1,5,5,8,1600,140,5,10,10,10,10,10,10,60,26.772909,75.908035
231,RJ-900600-001,"26.794384, 75.8411633",RAJASTHAN,62.5,62.5,4,6,2.5,22,60,16,0.05,1.6,0.05,1,1.9,1,5,2,6,1100,110,4,10,10,10,10,10,10,60,26.794384,75.8411633
232,RJ-900600-003,"26.7943825, 75.8411407",RAJASTHAN,90,90,4,9,4,20,120,17,0.05,2.1,0.45,1,2.6,8.7,5,2,20,3500,93,12,10,10,10,10,10,10,60,26.7943825,75.8411407
233,UK-800315-001,"30.2266502, 78.783702",Uttarakhand,3.5,2.5,4,3.4,29,40,19,100,0.05,0.05,0.5,1,1.5,1.4,5,5,3,1.8,1.8,30,0,0,10,10,10,10,40,30.2266502,78.783702
234,KA-803042-001,"16.4837228, 75.1098403",Karnataka,9.2,9.2,12,14.5,11,36,48.43,31.7,1,1,0.7,3,15.54,2.38,11,10,10,40,2,47,10,10,10,10,10,10,60,16.4837228,75.1098403
235,KA-803224-001,"12.965359, 78.2902529",Karnataka,5,0,45,6.8,2,160,36.32,6.9,5,1.24,0.5,3,42.76,2.12,60,8,16,350,2,2,10,10,10,10,10,10,60,12.965359,78.2902529
236,JK-800071-003,"32.807584, 74.905582",Jammu And Kashmir,4,1,8,5.2,14,50,32,40,0.05,0.05,1.6,0.1,1.9,10.5,5,5,12,1.8,1.8,35,0,10,0,10,10,10,40,32.807584,74.905582
237,UK-800335-001,"29.1934745, 79.5372676",Uttarakhand,28,28,6,14,3.8,38,40,10,0.05,0.1,1.2,1,2.3,6.1,5,3,18,1.8,10,25,10,10,0,10,10,10,50,29.1934745,79.5372676
238,TS-802918-008,"17.339312, 78.4291336",Telangana,5,5,58,15.4,22,140,48,76,1.6,0.1,0.7,36,65,18,8,15.2,9,430,140,84,0,0,10,0,10,10,30,17.339312,78.4291336
239,TN-803984-001,"10.9832679, 76.972701",Tamil Nadu,70,30,8,6.2,13.5,48,28,73.08,0.42,1.1,1,2.98,59,16,10,6.8,12,6.1,220,4,0,0,10,0,10,10,30,10.9832679,76.972701
240,TN-803463-001,"11.6529132, 78.170872",Tamil Nadu,13,12,76,12.8,8.6,164,40,45,1.6,1.5,0.96,28,62,45,29,5.8,5.1,210,170,110,10,10,10,0,10,10,50,11.6529132,78.170872
241,PB-800236-001,"29.9808883, 75.3836632",Punjab,14,12.5,46,190,24,220,633.6,86.4,0.05,1,2.6,1,34.78,27.13,5,198,4,5400000,542,1.8,0,0,0,0,10,10,20,29.9808883,75.3836632
